Date,ML,Low_90,High_90
2020-04-03,0.0,0.0,10.81
<<<<<<< HEAD
2020-04-04,4.09,0.89,6.69
2020-04-05,4.14,2.11,5.96
2020-04-06,4.19,2.72,5.47
2020-04-07,3.89,2.7800000000000002,4.89
2020-04-08,3.42,2.5100000000000002,4.23
2020-04-09,3.12,2.37,3.8200000000000003
2020-04-10,2.88,2.22,3.48
2020-04-11,2.74,2.13,3.25
2020-04-12,2.64,2.11,3.11
2020-04-13,2.61,2.15,3.0500000000000003
2020-04-14,2.52,2.1,2.92
2020-04-15,2.4,2.0,2.7600000000000002
2020-04-16,2.22,1.85,2.56
2020-04-17,2.11,1.73,2.41
2020-04-18,2.0,1.6400000000000001,2.29
2020-04-19,1.9000000000000001,1.57,2.19
2020-04-20,1.79,1.47,2.07
2020-04-21,1.7,1.37,1.96
2020-04-22,1.54,1.21,1.79
2020-04-23,1.4000000000000001,1.09,1.6600000000000001
2020-04-24,1.28,0.97,1.54
2020-04-25,1.25,0.9400000000000001,1.51
2020-04-26,1.3,1.01,1.57
2020-04-27,1.36,1.05,1.61
2020-04-28,1.4000000000000001,1.09,1.6400000000000001
2020-04-29,1.41,1.11,1.6500000000000001
2020-04-30,1.36,1.06,1.59
2020-05-01,1.3,1.02,1.54
2020-05-02,1.3,1.01,1.53
2020-05-03,1.32,1.04,1.55
2020-05-04,1.35,1.08,1.58
2020-05-05,1.33,1.07,1.56
2020-05-06,1.25,0.98,1.47
2020-05-07,1.19,0.91,1.4000000000000001
2020-05-08,1.19,0.9400000000000001,1.42
2020-05-09,1.24,0.97,1.45
2020-05-10,1.35,1.1,1.57
2020-05-11,1.44,1.19,1.6500000000000001
2020-05-12,1.47,1.23,1.68
2020-05-13,1.41,1.17,1.61
2020-05-14,1.33,1.11,1.54
2020-05-15,1.32,1.08,1.51
2020-05-16,1.32,1.1,1.52
2020-05-17,1.37,1.1300000000000001,1.55
2020-05-18,1.45,1.22,1.6300000000000001
2020-05-19,1.46,1.24,1.6400000000000001
2020-05-20,1.48,1.27,1.6600000000000001
2020-05-21,1.3900000000000001,1.19,1.57
2020-05-22,1.32,1.11,1.49
2020-05-23,1.19,1.0,1.37
2020-05-24,1.04,0.85,1.22
2020-05-25,0.98,0.77,1.1500000000000001
2020-05-26,1.08,0.87,1.25
2020-05-27,1.16,0.97,1.34
2020-05-28,1.36,1.1500000000000001,1.52
2020-05-29,1.42,1.22,1.58
2020-05-30,1.51,1.31,1.6600000000000001
2020-05-31,1.48,1.29,1.6300000000000001
2020-06-01,1.3800000000000001,1.21,1.54
2020-06-02,1.3,1.12,1.45
2020-06-03,1.25,1.06,1.3900000000000001
2020-06-04,1.1500000000000001,0.98,1.3
2020-06-05,1.1,0.93,1.25
2020-06-06,1.09,0.92,1.24
2020-06-07,1.1500000000000001,0.97,1.29
2020-06-08,1.21,1.03,1.35
2020-06-09,1.25,1.08,1.3900000000000001
2020-06-10,1.22,1.05,1.36
2020-06-11,1.16,0.99,1.3
2020-06-12,1.09,0.91,1.22
2020-06-13,1.07,0.89,1.2
2020-06-14,1.1300000000000001,0.97,1.27
2020-06-15,1.22,1.05,1.35
2020-06-16,1.22,1.05,1.35
2020-06-17,1.18,1.03,1.32
2020-06-18,1.07,0.92,1.21
2020-06-19,0.97,0.8200000000000001,1.11
2020-06-20,0.9,0.73,1.03
2020-06-21,0.91,0.74,1.04
2020-06-22,1.0,0.8300000000000001,1.1300000000000001
2020-06-23,1.09,0.92,1.22
2020-06-24,1.11,0.96,1.25
